TemplateType=shoes	Version=2017.0223	Le prime 3 righe sono destinate a uso esclusivo di Amazon.com. Non modificare, né cancellarle prime 3 righe.								Offerta-Informazioni sull'offerta - Attributi obbligatori per rendere il prodotto acquistabile dai clienti sul sito.												Dimensioni-Dimensioni del prodotto - Attributi che specificano le dimensioni e il peso di un prodotto.								Scoperta-Informazioni sulla scoperta del prodotto - Questi attributi influiscono sulla modalit? in cui il cliente pu? trovare i prodotti sul sito mediante navigazione o ricerca.		"Immagini-Informazioni sull'immagine. Si veda la scheda ""Istruzioni per l'immagine"", per maggiori dettagli."										Metodo di gestione-utilizza queste colonne per fornire informazioni riguardanti il metodo di  gestione delle offerte (tramite Logistica di Amazon o auto-gestite dal venditore stesso).							Varianti-Informazioni varianti - Popolare questi attributi se il prodotto ? disponibile in diverse varianti (Per esempio: colore o wattaggio).				Conformit?-Informazioni di conformit? - Attributi utilizzati per conformit? alle leggi a tutela del consumatore nel Paese o nella regione in cui ? venduto l'articolo.	Non raggruppati - Questi attributi di creare elenchi di prodotti ricche per i vostri acquirenti.																			
SKU venditore	Codice prodotto standard	Tipo codice prodotto	Titolo articolo	Marca	Descrizione articolo	Tipo di prodotto	Aggiornamento - Eliminazione	Codice articolo del produttore	Numero di modello	Prezzo articolo	Quantit?	Prezzo scontato	Data inizio sconto	Data fine sconto	Quantit? prodotti per ordine	Disponibilit? messaggio auguri	Disponibilit? confezione regalo	Produzione interrotta	Tempo di evasione ordine	Gruppo Spedizione venditore	Codice fiscale prodotto	Unit? di misura peso di spedizione	Peso di spedizione	Lunghezza articolo	Altezza articolo	Larghezza articolo	Unit? di misura dimensioni del prodotto	Peso articolo	Unit? di misura del peso dell'articolo	Browse node raccomandato	Termini di ricerca	URL immagine principale	URL altre immagini1	URL altre immagini2	URL altre immagini3	URL altre immagini4	URL altre immagini5	URL altre immagini6	URL altre immagini7	URL altre immagini8	URL immagine campione	Altezza pacco	Larghezza pacco	Lunghezza pacco	Unit? di misura dimensioni collo	Peso pacco	Unit? di misura peso collo	Numero centro di distribuzione	Parentela	"SKU ""parent"""	Tipo di relazione	Tema variante	Paese di origine	Genere	Anno del modello	Nome modello	Stile	Colore	Mappatura colore	Taglia	Materiale esterno	Collezione	Stagione	Larghezza Scarpa	Mappatura taglia	Composizione materiale	Materiale interno	Materiale suola	Tipo di tacco	Tipo di chiusura	Tipo di sport	Altezza tacco	Unit? di misura dimensioni scarpa
item_sku	external_product_id	external_product_id_type	item_name	brand_name	product_description	feed_product_type	update_delete	part_number	model	standard_price	quantity	sale_price	sale_from_date	sale_end_date	item_package_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	fulfillment_latency	merchant_shipping_group_name	product_tax_code	website_shipping_weight_unit_of_measure	website_shipping_weight	item_length	item_height	item_width	item_dimensions_unit_of_measure	item_weight	item_weight_unit_of_measure	recommended_browse_nodes	generic_keywords	main_image_url	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	other_image_url7	other_image_url8	swatch_image_url	package_height	package_width	package_length	package_dimensions_unit_of_measure	package_weight	package_weight_unit_of_measure	fulfillment_center_id	parent_child	parent_sku	relationship_type	variation_theme	country_of_origin	department_name	model_year	model_name	style_name	color_name	color_map	size_name	outer_material_type	collection_name	seasons	shoe_width	size_map	material_composition	inner_material_type	sole_material	heel_type	closure_type	sport_type	heel_height	heel_height_unit_of_measure
fines-ToteBag-BGE-BPJE			I Work Hard So My Cat Can Live A Better life Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPJE	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, animal, pet, fluffy, cute, love, hug, pawwork, hard, play, hard, sharing, caringnerd, smart, hipster, vintage, awesome	http://79.98.29.171/media/generated_images/253087.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPJD			Woman Up Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPJD	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, fashion, industry, style, flash, feminismnice, cool, beauty, slogan, gloss, sexyface, stylish, fashion, glasses, iconic, lip	http://79.98.29.171/media/generated_images/253097.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPJB			Please Tell Me Your WI-FI Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPJB	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, animal, pet, fluffy, cute, love, hug, pawkitten, soft, warm, ball, of, fur, lady, introvertnerd, smart, hipster, vintage, awesome	http://79.98.29.171/media/generated_images/253107.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPJA			When I Grow Up I Will Be An Astronaut Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPJA	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, astronaut, space, galaxy, stars, baloonmoon, planet, earth, venera, mars, plutonuniverse, galaxy, jupiter, space, rocket	http://79.98.29.171/media/generated_images/253117.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIZ			What's Up? Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIZ	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, animal, pet, fluffy, cute, love, hug, pawkitten, soft, warm, ball, of, fur, lady, introvertnerd, smart, hipster, vintage, awesome	http://79.98.29.171/media/generated_images/253127.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIY			Humans Are 90% Water Basically Like Cucumbers With Anxiety Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIY	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, human, race, sucks, sad, astronauts, fruitsanimals, love, wild, life, gardengood, life, good, vibes, summer, 2017	http://79.98.29.171/media/generated_images/253137.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIX			Stop Global Warming Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIX	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, air, pollution, earth, problem, climatechange, save, the, nature, CO2, cars, planesships, suck, leave, me, alone	http://79.98.29.171/media/generated_images/253147.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIW			Mountains Inverted Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIW	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, mountains, calling, alpinism, track, hikingclouds, sunny, weather, happy, up, in, the, airtake, me, to, the, mountains	http://79.98.29.171/media/generated_images/253157.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIV			That One Dracula Cosplayer Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIV	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, blood, drink, killer, sadism, rippedvintage, hipster, drawing, cool, gift, awesomegood, life, good, vibes, summer, 2017	http://79.98.29.171/media/generated_images/253167.png																					Lituania					Beige	Beige	one size					one size								
